event,l1c_tile,satellite,lat,lon
Spain_0,S2B_MSIL1C_20210910T105619_N0301_R094_T30SUF_20210910T114452,S2B,36.5377,5.1721
France_0,S2A_MSIL1C_20210817T103021_N0301_R108_T31TGJ_20210817T123758,S2A,43.3328,6.4114
Greece_0,S2B_MSIL1C_20210818T090559_N0301_R050_T34SFH_20210818T100108,S2B,38.1095,23.3288
Portugal_0,S2B_MSIL1C_20210814T110619_N0301_R137_T29SPB_20210814T120505,S2B,37.5834,-6.7966
Spain_1,S2B_MSIL1C_20210814T110619_N0301_R137_T30TUK_20210814T120505,S2B,39.9546,-4.3299
Greece_1,S2A_MSIL1C_20210806T092031_N0301_R093_T34SFF_20210806T103112,S2A,36.8062,22.4375
Greece_2,S2B_MSIL1C_20210802T084559_N0301_R107_T35SNA_20210802T093857,S2B,37.0356,27.8118
Latvia_0,S2A_MSIL1C_20210726T095031_N0301_R079_T35VLD_20210726T103639,S2A,57.3541,24.8478
Mexico_0,S2B_MSIL1C_20210325T170849_N0209_R112_T14RLP_20210325T205012,S2B,25.3829,-100.4084
Australia_0,S2A_MSIL1C_20210205T021341_N0209_R060_T50HMJ_20210205T055002,S2A,-32.6424,116.704
Spain_2,S2B_MSIL1C_20200829T110629_N0209_R137_T30TTK_20200829T122327,S2B,40.1657,-5.6997
Greece_3,S2B_MSIL1C_20200823T090559_N0209_R050_T34SFF_20200823T101613,S2B,36.7116,22.4537
Ukraine_0,S2B_MSIL1C_20200412T085549_N0209_R007_T35UQT_20200412T111506,S2B,51.3637,30.0296
Australia_1,S2A_MSIL1C_20191107T235251_N0208_R130_T56JMM_20191108T011214,S2A,-29.9192,152.3357
Italy_0,S2B_MSIL1C_20190920T095029_N0208_R079_T33TVF_20190920T115647,S2B,41.168,14.4398
Bolivia_0,S2A_MSIL1C_20190821T142041_N0208_R010_T20LNH_20190821T155923,S2A,-15.8904,-62.3047
Bolivia_1,S2A_MSIL1C_20190801T142041_N0208_R010_T20LQH_20190801T174138,S2A,-15.6869,-60.488
Greece_4,S2A_MSIL1C_20190814T090601_N0208_R050_T35SKC_20190814T104032,S2A,38.6479,23.68
Greenland_0,S2A_MSIL1C_20190812T150921_N0208_R025_T21WXQ_20190812T201743,S2A,66.9996,-53.1842
Spain_3,S2B_MSIL1C_20190723T105629_N0208_R094_T30TXM_20190723T130323,S2B,42.152,-1.6434
Greece_5,S2A_MSIL1C_20190705T090601_N0207_R050_T35SKC_20190705T113504,S2A,38.4886,24.0979
Kenya_0,S2A_MSIL1C_20190228T073841_N0207_R092_T37MBV_20190228T093948,S2A,-0.2038,37.2755
Latvia_1,S2A_MSIL1C_20180801T095031_N0206_R079_T35VLE_20180801T134035,S2A,57.9515,24.8847
Sweden_0,S2A_MSIL1C_20180717T104021_N0206_R008_T33VVJ_20180717T160515,S2A,61.815,14.4926
Spain_4,S2B_MSIL1C_20170729T112119_N0205_R037_T29TQF_20170729T112341,S2B,41.1379,-6.4064
Hungary_0,S2A_MSIL1C_20170803T094031_N0205_R036_T34TDT_20170803T094046,S2A,47.3183,19.8541
Spain_5,S2A_MSIL1C_20170728T105621_N0205_R094_T30SWH_20170728T110406,S2A,38.4359,-2.3611
France_1,S2B_MSIL1C_20170724T103019_N0205_R108_T31TGJ_20170724T103022,S2B,43.6791,5.6015
Italy_1,S2B_MSIL1C_20170712T095029_N0205_R079_T33TVF_20170712T095623,S2B,40.8263,14.4229
Italy_2,S2B_MSIL1C_20210813T100029_N0301_R122_T33TUG_20210813T120753,S2B,41.96563,12.81618
Korea_0,S2A_MSIL1C_20220305T020701_N0400_R103_T52SEG_20220305T035602,S2A,37.56,129.0413
